scan_number, cell_name, time
1046389, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 18:23:19.472000
1046395, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 18:27:42.613000
1046401, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 18:32:04.476000
1046407, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 18:36:27.397000
1046413, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 18:40:49.626000
1046419, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 18:45:12.341000
1046425, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 18:49:33.662000
1046431, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 18:53:55.617000
1046437, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 18:58:17.672000
1046443, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 19:02:39.682000
1046449, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 19:07:02.721000
1046455, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 19:11:24.615000
1046461, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 19:15:47.608000
1046467, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 19:20:09.975000
1046473, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 19:24:31.725000
1046479, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 19:28:54.434000
1046485, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 19:33:16.650000
1046491, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 19:37:39.488000
1046497, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 19:42:02.394000
1046503, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 19:46:24.601000
1046509, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 19:50:46.703000
1046515, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 19:55:09.462000
1046521, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 19:59:32.350000
1046527, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 20:03:54.691000
1046533, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 20:08:17.393000
1046539, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 20:12:40.012000
1046545, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 20:17:02.671000
1046551, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 20:21:26.397000
1046557, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 20:25:48.445000
1046563, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 20:30:11.738000
1046569, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 20:34:34.970000
1046575, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 20:38:56.721000
1046581, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 20:43:19.686000
1046587, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 20:47:42.491000
1046593, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 20:52:04.674000
1046599, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 20:56:27.611000
1046605, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 21:00:50.440000
1046611, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 21:05:13.063000
1046617, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 21:09:34.785000
1046623, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 21:13:57.670000
1046629, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 21:18:20.395000
1046635, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 21:22:43.001000
1046641, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 21:27:04.680000
1046647, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 21:31:26.666000
1046653, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 21:35:48.712000
1046659, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 21:40:10.681000
1046665, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 21:44:33.090000
1046671, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 21:48:56.654000
1046677, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 21:53:19.098000
1046683, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 21:57:40.601000
1046689, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 22:02:03.283000
1046695, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 22:06:26.680000
1046701, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 22:10:49.297000
1046707, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 22:15:13.247000
1046713, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 22:19:34.674000
1046719, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 22:23:57.472000
1046725, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 22:28:19.427000
1046731, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 22:32:42.514000
1046737, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 22:37:06.350000
1046743, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 22:41:27.676000
1046749, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 22:45:50.253000
1046755, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 22:50:13.452000
1046761, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 22:54:35.668000
1046767, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 22:58:58.438000
1046773, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 23:03:19.677000
1046779, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 23:07:42.721000
1046785, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 23:12:04.989000
1046791, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 23:16:27.600000
1046797, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 23:20:49.667000
1046803, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 23:25:12.680000
1046809, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 23:29:34.695000
1046815, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 23:33:57.970000
1046821, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 23:38:20.692000
1046827, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 23:42:43.376000
1046833, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 23:47:06.351000
1046839, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 23:51:28.421000
1046845, jdb11-4_e1_xs3_NaCoO2, 2022-5-13 23:56:01.340000
1046851, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 00:00:25.674000
1046857, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 00:04:54.991000
1046863, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 00:09:17.477000
1046869, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 00:13:40.363000
1046875, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 00:18:02.728000
1046881, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 00:22:25.643000
1046887, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 00:26:47.700000
1046893, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 00:31:09.670000
1046899, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 00:35:32.035000
1046905, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 00:39:55.408000
1046911, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 00:44:16.668000
1046917, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 00:48:38.784000
1046923, jdb11-4_e1_xs3_NaCoO2, 2022-5-14 00:53:01.410000
