Sourcefile	20221128 134958 TGA MS Megan.qmp
Exporttime	28/11/2022 15:24:02

Start Time	28/11/2022 13:51:12
End Time	28/11/2022 15:21:44

		14			16			Water			Nitrogen/Carbonmonoxide			Oxygen			Argon			Carbondioxide	
Time	Time Relative [s]	Partial Pressure [mbar]	Time	Time Relative [s]	Partial Pressure [mbar]	Time	Time Relative [s]	Partial Pressure [mbar]	Time	Time Relative [s]	Partial Pressure [mbar]	Time	Time Relative [s]	Partial Pressure [mbar]	Time	Time Relative [s]	Partial Pressure [mbar]	Time	Time Relative [s]	Partial Pressure [mbar]	
28/11/2022 13:51:12	0.000	1.083137e-011	28/11/2022 13:51:12	0.222	8.512007e-012	28/11/2022 13:51:12	0.445	-1.415928e-013	28/11/2022 13:51:13	1.536	3.765051e-013	28/11/2022 13:51:14	2.628	2.359224e-013	28/11/2022 13:51:15	2.860	8.967970e-015	28/11/2022 13:51:16	3.951	7.596080e-014
28/11/2022 13:51:16	4.163	1.096034e-011	28/11/2022 13:51:16	4.376	9.185462e-012	28/11/2022 13:51:16	4.593	1.827911e-013	28/11/2022 13:51:17	5.632	4.710593e-013	28/11/2022 13:51:18	6.674	2.634691e-013	28/11/2022 13:51:19	6.887	1.137650e-013	28/11/2022 13:51:20	7.928	8.594765e-014
28/11/2022 13:51:20	8.142	1.060246e-011	28/11/2022 13:51:20	8.355	8.876860e-012	28/11/2022 13:51:20	8.568	1.122040e-013	28/11/2022 13:51:21	9.606	3.669648e-013	28/11/2022 13:51:22	10.647	1.883308e-013	28/11/2022 13:51:23	10.861	4.922432e-014	28/11/2022 13:51:24	11.902	5.073823e-014
28/11/2022 13:51:24	12.114	1.102734e-011	28/11/2022 13:51:24	12.327	9.110856e-012	28/11/2022 13:51:24	12.544	7.767297e-014	28/11/2022 13:51:25	13.587	3.326377e-013	28/11/2022 13:51:26	14.627	1.844482e-013	28/11/2022 13:51:26	14.840	3.448565e-014	28/11/2022 13:51:28	15.881	4.091345e-014
28/11/2022 13:51:28	16.094	1.099306e-011	28/11/2022 13:51:28	16.307	8.880371e-012	28/11/2022 13:51:28	16.520	5.938820e-014	28/11/2022 13:51:29	17.560	3.618987e-013	28/11/2022 13:51:30	18.600	1.660030e-013	28/11/2022 13:51:30	18.813	3.314770e-014	28/11/2022 13:51:32	19.854	4.743177e-014
28/11/2022 13:51:32	20.067	1.084137e-011	28/11/2022 13:51:32	20.281	8.637901e-012	28/11/2022 13:51:32	20.498	8.020298e-014	28/11/2022 13:51:33	21.538	3.344822e-013	28/11/2022 13:51:34	22.577	1.732093e-013	28/11/2022 13:51:34	22.790	6.011266e-014	28/11/2022 13:51:35	23.832	4.073069e-014
28/11/2022 13:51:36	24.045	1.081303e-011	28/11/2022 13:51:36	24.258	9.054521e-012	28/11/2022 13:51:36	24.477	1.275848e-013	28/11/2022 13:51:37	25.517	3.320974e-013	28/11/2022 13:51:38	26.557	1.532704e-013	28/11/2022 13:51:38	26.773	6.226981e-014	28/11/2022 13:51:39	27.813	4.230231e-014
28/11/2022 13:51:40	28.027	1.052394e-011	28/11/2022 13:51:40	28.240	8.924120e-012	28/11/2022 13:51:40	28.460	1.147404e-013	28/11/2022 13:51:41	29.499	3.351972e-013	28/11/2022 13:51:42	30.539	1.617506e-013	28/11/2022 13:51:42	30.752	5.007285e-014	28/11/2022 13:51:43	31.792	4.361852e-014
28/11/2022 13:51:44	32.005	1.127354e-011	28/11/2022 13:51:44	32.217	8.793870e-012	28/11/2022 13:51:44	32.445	1.084512e-013	28/11/2022 13:51:45	33.486	3.288716e-013	28/11/2022 13:51:46	34.526	1.503702e-013	28/11/2022 13:51:46	34.739	6.259508e-014	28/11/2022 13:51:47	35.780	4.560085e-014
28/11/2022 13:51:48	35.994	1.056462e-011	28/11/2022 13:51:48	36.208	8.917232e-012	28/11/2022 13:51:48	36.432	1.019924e-013	28/11/2022 13:51:49	37.471	3.249922e-013	28/11/2022 13:51:50	38.512	1.545529e-013	28/11/2022 13:51:50	38.726	7.341077e-014	28/11/2022 13:51:51	39.764	4.555533e-014
28/11/2022 13:51:52	39.976	1.104492e-011	28/11/2022 13:51:52	40.190	9.274575e-012	28/11/2022 13:51:52	40.408	1.052866e-013	28/11/2022 13:51:53	41.449	3.507901e-013	28/11/2022 13:51:54	42.489	1.618817e-013	28/11/2022 13:51:54	42.703	5.995356e-014	28/11/2022 13:51:55	43.743	4.164845e-014
28/11/2022 13:51:56	43.956	1.079501e-011	28/11/2022 13:51:56	44.169	8.887356e-012	28/11/2022 13:51:56	44.391	7.727395e-014	28/11/2022 13:51:57	45.431	3.415012e-013	28/11/2022 13:51:58	46.473	1.570507e-013	28/11/2022 13:51:58	46.685	5.572177e-014	28/11/2022 13:51:59	47.726	4.468859e-014
28/11/2022 13:52:00	47.939	1.067809e-011	28/11/2022 13:52:00	48.153	8.782023e-012	28/11/2022 13:52:00	48.369	9.247714e-014	28/11/2022 13:52:01	49.407	3.239601e-013	28/11/2022 13:52:02	50.448	1.699969e-013	28/11/2022 13:52:02	50.662	6.363732e-014	28/11/2022 13:52:03	51.703	4.367972e-014
28/11/2022 13:52:04	51.916	1.057779e-011	28/11/2022 13:52:04	52.128	8.736233e-012	28/11/2022 13:52:04	52.346	9.688728e-014	28/11/2022 13:52:05	53.386	3.461890e-013	28/11/2022 13:52:06	54.426	1.594989e-013	28/11/2022 13:52:06	54.639	5.838375e-014	28/11/2022 13:52:07	55.681	4.169549e-014
28/11/2022 13:52:08	55.893	1.063905e-011	28/11/2022 13:52:08	56.106	8.804931e-012	28/11/2022 13:52:08	56.323	5.426085e-014	28/11/2022 13:52:09	57.363	3.276170e-013	28/11/2022 13:52:10	58.405	1.649710e-013	28/11/2022 13:52:10	58.617	3.719020e-014	28/11/2022 13:52:11	59.656	4.597835e-014
28/11/2022 13:52:12	59.868	1.087099e-011	28/11/2022 13:52:12	60.081	9.021344e-012	28/11/2022 13:52:12	60.299	6.761451e-014	28/11/2022 13:52:13	61.341	3.700341e-013	28/11/2022 13:52:14	62.382	1.695250e-013	28/11/2022 13:52:14	62.595	5.520950e-014	28/11/2022 13:52:15	63.637	4.161616e-014
28/11/2022 13:52:16	63.850	1.059549e-011	28/11/2022 13:52:16	64.063	8.503888e-012	28/11/2022 13:52:16	64.275	1.116772e-013	28/11/2022 13:52:17	65.316	3.358418e-013	28/11/2022 13:52:18	66.358	1.588362e-013	28/11/2022 13:52:18	66.570	4.858754e-014	28/11/2022 13:52:19	67.610	3.690361e-014
28/11/2022 13:52:19	67.824	1.050372e-011	28/11/2022 13:52:20	68.037	9.049627e-012	28/11/2022 13:52:20	68.254	1.019407e-013	28/11/2022 13:52:21	69.294	3.501381e-013	28/11/2022 13:52:22	70.334	1.586858e-013	28/11/2022 13:52:22	70.553	6.118343e-014	28/11/2022 13:52:23	71.594	3.878733e-014
28/11/2022 13:52:23	71.807	1.079954e-011	28/11/2022 13:52:24	72.019	8.856375e-012	28/11/2022 13:52:24	72.239	4.710805e-014	28/11/2022 13:52:25	73.281	3.311180e-013	28/11/2022 13:52:26	74.322	1.677975e-013	28/11/2022 13:52:26	74.535	4.333572e-014	28/11/2022 13:52:27	75.576	4.364313e-014
28/11/2022 13:52:27	75.789	1.105975e-011	28/11/2022 13:52:28	76.002	9.048598e-012	28/11/2022 13:52:28	76.222	5.611652e-014	28/11/2022 13:52:29	77.260	3.689050e-013	28/11/2022 13:52:30	78.300	1.483271e-013	28/11/2022 13:52:30	78.513	4.305753e-014	28/11/2022 13:52:31	79.553	4.170733e-014
28/11/2022 13:52:31	79.766	1.092401e-011	28/11/2022 13:52:32	79.979	9.130291e-012	28/11/2022 13:52:32	80.201	1.158240e-013	28/11/2022 13:52:33	81.242	3.743029e-013	28/11/2022 13:52:34	82.281	1.580627e-013	28/11/2022 13:52:34	82.494	4.465875e-014	28/11/2022 13:52:35	83.538	4.027605e-014
28/11/2022 13:52:35	83.751	1.060327e-011	28/11/2022 13:52:36	83.964	9.035075e-012	28/11/2022 13:52:36	84.183	8.200950e-014	28/11/2022 13:52:37	85.223	3.278058e-013	28/11/2022 13:52:38	86.264	1.797964e-013	28/11/2022 13:52:38	86.477	5.793470e-014	28/11/2022 13:52:39	87.517	4.432314e-014
