
Integration time [ms]:   1.500
Averaging Nr. [scans]: 100
Smoothing Nr. [pixels]: 3
Data measured with spectrometer [name]: 1908047U1
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 

128.909;  483.977;   -0.956;   81.480
129.461;  494.976;   -2.716;   68.201
130.013;  518.510;   -5.226;  127.577
130.565;  509.190;   -5.833;   92.420
131.118;  512.969;   -7.108;   92.061
131.670;  513.354;   -8.558;   89.289
132.222;  516.586;   -9.323;   90.332
132.774;  520.516;   -9.738;   93.177
133.326;  520.234;   -9.531;   87.110
133.879;  529.780;   -9.040;  112.505
134.431;  533.801;   -8.584;  114.788
134.983;  539.324;   -7.924;  120.104
135.536;  549.982;   -6.583;  140.699
136.088;  554.352;   -5.250;  143.215
136.640;  562.679;   -3.798;  161.972
137.193;  572.671;   -2.756;  177.550
137.745;  573.683;   -1.884;  166.469
138.297;  580.581;   -1.080;  175.815
138.850;  583.603;    0.217;  169.282
139.402;  579.326;    1.163;  145.747
139.955;  580.387;    1.837;  140.625
140.507;  580.763;    1.986;  135.541
141.059;  582.129;    2.133;  140.475
141.612;  574.647;    2.262;  118.250
142.164;  572.046;    2.540;  108.850
142.717;  570.554;    2.220;  110.377
143.269;  579.105;    2.054;  127.122
143.822;  581.610;    1.553;  131.258
144.374;  581.114;    1.423;  117.332
144.927;  589.416;    1.552;  138.005
145.479;  602.101;    1.683;  164.124
146.032;  603.940;    1.249;  162.761
146.585;  596.135;    0.549;  159.004
147.137;  595.551;    0.057;  154.978
147.690;  601.535;    0.379;  162.423
148.242;  605.068;    0.360;  165.702
148.795;  598.438;   -0.123;  135.965
149.348;  610.813;   -0.437;  161.531
149.900;  616.521;   -0.683;  168.784
150.453;  626.795;   -0.416;  167.544
151.006;  626.707;   -0.317;  157.140
151.558;  620.699;   -0.691;  131.408
152.111;  620.515;   -1.101;  125.534
152.664;  623.791;   -1.121;  125.643
153.217;  652.180;   -0.413;  165.077
153.769;  665.150;    0.327;  186.637
154.322;  676.562;    0.566;  207.353
154.875;  680.624;    0.433;  221.057
155.428;  686.597;    0.063;  236.716
155.981;  688.781;    0.100;  236.154
156.533;  692.451;    0.427;  245.665
157.086;  660.103;   -0.161;  187.529
157.639;  645.470;   -0.830;  156.059
158.192;  645.553;   -1.161;  153.487
158.745;  650.097;   -1.164;  150.934
159.298;  656.044;   -0.594;  162.720
159.851;  661.139;   -0.151;  179.672
160.403;  664.308;   -0.346;  180.200
160.956;  671.279;   -0.558;  191.508
161.509;  677.367;   -0.891;  209.365
162.062;  677.914;   -0.766;  210.421
162.615;  680.813;   -0.300;  215.667
163.168;  678.978;   -0.528;  206.383
163.721;  680.432;   -0.731;  201.954
164.274;  679.568;   -0.873;  194.270
164.827;  671.848;   -0.904;  165.926
165.380;  676.783;   -0.003;  167.377
165.933;  689.923;    0.656;  194.129
166.486;  701.697;    0.630;  223.380
167.039;  703.114;    0.490;  223.937
167.592;  701.431;    0.099;  220.099
168.145;  702.058;    0.239;  219.343
168.698;  706.851;    0.633;  233.576
169.251;  713.651;    0.546;  250.380
169.805;  704.308;   -0.151;  231.070
170.358;  694.455;   -0.627;  205.186
170.911;  694.780;   -0.514;  206.950
171.464;  700.547;    0.264;  213.754
172.017;  702.703;    0.496;  212.202
172.570;  702.508;   -0.048;  204.650
173.123;  690.153;   -0.650;  165.281
173.677;  686.699;   -0.624;  145.419
174.230;  689.098;   -0.040;  137.518
174.783;  691.704;    0.146;  128.423
175.336;  693.849;   -0.388;  122.164
175.889;  697.710;   -0.823;  131.546
176.443;  700.727;   -0.943;  142.725
176.996;  704.575;   -0.631;  150.585
177.549;  711.133;   -0.251;  152.597
178.102;  707.842;   -0.776;  154.093
178.656;  712.798;   -1.050;  162.210
179.209;  731.300;   -0.793;  194.327
179.762;  740.486;   -0.216;  200.188
180.316;  747.618;    0.432;  195.494
180.869;  757.190;    0.357;  203.059
181.422;  761.773;   -0.097;  206.060
181.976;  774.910;   -0.141;  208.198
182.529;  780.167;   -0.067;  209.382
183.082;  775.925;    0.160;  195.925
183.636;  785.109;    0.277;  209.978
184.189;  796.858;    0.227;  223.233
184.742;  803.135;    0.203;  222.744
185.296;  813.941;    0.527;  234.617
185.849;  821.410;    1.033;  243.134
186.403;  834.142;    1.534;  258.465
186.956;  845.341;    1.486;  272.314
187.510;  838.682;    0.730;  250.674
188.063;  836.651;    0.337;  233.093
188.616;  846.824;    0.616;  242.778
189.170;  865.370;    1.193;  268.651
189.723;  876.014;    1.132;  275.893
190.277;  883.743;    0.729;  277.982
190.830;  879.631;    0.172;  253.698
191.384;  890.211;    0.529;  255.823
191.937;  898.503;    0.950;  258.270
192.491;  903.182;    0.780;  249.932
193.044;  897.771;    0.199;  221.050
193.598;  900.776;   -0.220;  206.899
194.152;  905.224;   -0.194;  192.022
194.705;  909.045;    0.213;  183.121
195.259;  916.709;    0.453;  178.953
195.812;  927.466;    0.172;  179.429
196.366;  933.181;   -0.017;  169.020
196.919;  946.395;   -0.017;  177.349
197.473;  963.354;    0.549;  197.773
198.027;  976.139;    0.733;  210.611
198.580;  992.130;    0.504;  218.090
199.134; 1020.124;    0.286;  251.004
199.688; 1042.392;    0.156;  279.800
200.241; 1056.810;    0.460;  287.300
200.795; 1076.108;    0.899;  301.186
201.349; 1089.154;    0.862;  299.919
201.902; 1094.485;    0.462;  282.093
202.456; 1110.864;    0.543;  285.254
203.010; 1118.901;    0.820;  271.297
203.563; 1120.483;    1.349;  241.150
204.117; 1131.477;    1.250;  235.284
204.671; 1131.940;    0.706;  203.856
205.224; 1145.533;    0.377;  201.152
205.778; 1167.089;    0.616;  210.287
206.332; 1176.057;    0.850;  193.502
206.886; 1179.507;    0.677;  169.325
207.439; 1198.355;    0.339;  170.309
207.993; 1218.470;    0.123;  170.826
208.547; 1253.305;    0.220;  197.406
209.101; 1284.691;    0.629;  213.198
209.655; 1315.560;    0.942;  223.561
210.208; 1350.277;    0.852;  234.685
210.762; 1389.178;    0.606;  240.586
211.316; 1435.157;    0.357;  259.985
211.870; 1484.611;    0.616;  271.264
212.424; 1520.698;    0.707;  251.076
212.978; 1566.633;    0.354;  234.412
213.531; 1620.679;   -0.331;  230.097
214.085; 1705.609;   -0.361;  265.819
214.639; 1789.514;   -0.186;  298.030
215.193; 1878.961;    0.516;  327.768
215.747; 1956.324;    0.559;  339.924
216.301; 2049.750;    0.333;  378.115
216.855; 2120.061;    0.040;  380.979
217.408; 2187.859;    0.102;  385.425
217.962; 2255.745;    0.507;  398.915
218.516; 2321.470;    0.750;  412.690
219.070; 2376.017;    0.286;  414.748
219.624; 2455.840;   -0.047;  468.086
220.178; 2521.904;   -0.281;  503.832
220.732; 2605.843;    0.163;  559.737
221.286; 2712.534;    0.552;  639.033
221.840; 2817.930;    0.197;  688.959
222.394; 2954.538;   -0.250;  748.833
222.948; 3133.503;   -0.606;  814.889
223.502; 3371.017;   -0.263;  874.108
224.056; 3714.824;    0.542;  981.147
224.610; 4147.166;    0.659; 1079.019
225.164; 4676.407;    0.507; 1148.415
225.718; 5334.706;    0.254; 1222.435
226.272; 6143.234;    0.537; 1299.885
226.826; 7130.975;    1.133; 1396.841
227.380; 8277.597;    1.299; 1478.244
227.934; 9619.512;    1.149; 1574.331
228.488;11115.474;    0.656; 1663.035
229.042;12765.837;    0.607; 1761.206
229.596;14553.357;    1.153; 1869.580
230.150;16469.324;    1.426; 2018.704
