
Integration time [ms]:   1.500
Averaging Nr. [scans]: 100
Smoothing Nr. [pixels]: 3
Data measured with spectrometer [name]: 1908047U1
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 

128.909;  154.311;   -0.956;   81.480
129.461;  166.225;   -2.716;   68.201
130.013;  175.760;   -5.226;  127.577
130.565;  174.021;   -5.833;   92.420
131.118;  176.761;   -7.108;   92.061
131.670;  176.100;   -8.558;   89.289
132.222;  178.488;   -9.323;   90.332
132.774;  181.075;   -9.738;   93.177
133.326;  179.885;   -9.531;   87.110
133.879;  184.645;   -9.040;  112.505
134.431;  186.728;   -8.584;  114.788
134.983;  190.682;   -7.924;  120.104
135.536;  198.322;   -6.583;  140.699
136.088;  201.936;   -5.250;  143.215
136.640;  207.482;   -3.798;  161.972
137.193;  215.055;   -2.756;  177.550
137.745;  217.155;   -1.884;  166.469
138.297;  222.069;   -1.080;  175.815
138.850;  224.308;    0.217;  169.282
139.402;  221.455;    1.163;  145.747
139.955;  221.575;    1.837;  140.625
140.507;  221.915;    1.986;  135.541
141.059;  222.488;    2.133;  140.475
141.612;  216.997;    2.262;  118.250
142.164;  214.574;    2.540;  108.850
142.717;  212.155;    2.220;  110.377
143.269;  217.822;    2.054;  127.122
143.822;  219.437;    1.553;  131.258
144.374;  219.386;    1.423;  117.332
144.927;  223.473;    1.552;  138.005
145.479;  231.313;    1.683;  164.124
146.032;  231.776;    1.249;  162.761
146.585;  222.966;    0.549;  159.004
147.137;  221.588;    0.057;  154.978
147.690;  224.721;    0.379;  162.423
148.242;  226.442;    0.360;  165.702
148.795;  222.520;   -0.123;  135.965
149.348;  230.664;   -0.437;  161.531
149.900;  234.455;   -0.683;  168.784
150.453;  244.302;   -0.416;  167.544
151.006;  245.065;   -0.317;  157.140
151.558;  241.155;   -0.691;  131.408
152.111;  240.797;   -1.101;  125.534
152.664;  242.658;   -1.121;  125.643
153.217;  263.250;   -0.413;  165.077
153.769;  271.447;    0.327;  186.637
154.322;  278.923;    0.566;  207.353
154.875;  280.528;    0.433;  221.057
155.428;  283.888;    0.063;  236.716
155.981;  284.742;    0.100;  236.154
