theta,intensity
5.0000,2.732
5.0400,2.368
5.0800,2.353
5.1200,2.338
5.1600,2.360
5.2000,2.272
5.2400,2.272
5.2800,2.248
5.3200,2.198
5.3600,2.151
5.4000,2.135
5.4400,2.147
5.4800,2.261
5.5200,2.197
5.5600,2.182
5.6000,2.169
5.6400,2.113
5.6800,2.078
5.7200,2.088
5.7600,2.062
5.8000,2.034
5.8400,1.988
5.8800,1.930
5.9200,1.944
5.9600,1.932
6.0000,1.907
6.0400,1.894
6.0800,1.873
6.1200,1.816
6.1600,1.819
6.2000,1.818
6.2400,1.714
6.2800,1.783
6.3200,1.766
6.3600,1.673
6.4000,1.679
6.4400,1.609
6.4800,1.579
6.5200,1.623
6.5600,1.567
6.6000,1.562
6.6400,1.546
6.6800,1.582
6.7200,1.592
6.7600,1.559
6.8000,1.555
6.8400,1.512
6.8800,1.483
6.9200,1.488
6.9600,1.446
7.0000,1.490
7.0400,1.478
7.0800,1.488
7.1200,1.515
7.1600,1.466
7.2000,1.483
7.2400,1.457
7.2800,1.470
7.3200,1.472
7.3600,1.474
7.4000,1.459
7.4400,1.493
7.4800,1.491
7.5200,1.481
7.5600,1.458
7.6000,1.474
7.6400,1.474
7.6800,1.440
7.7200,1.415
7.7600,1.449
7.8000,1.433
7.8400,1.419
7.8800,1.431
7.9200,1.401
7.9600,1.427
8.0000,1.421
8.0400,1.460
8.0800,1.422
8.1200,1.433
8.1600,1.425
8.2000,1.475
8.2400,1.387
8.2800,1.490
8.3200,1.435
8.3600,1.443
8.4000,1.439
8.4400,1.370
8.4800,1.392
8.5200,1.437
8.5600,1.463
8.6000,1.445
8.6400,1.482
8.6800,1.399
8.7200,1.401
8.7600,1.433
8.8000,1.414
8.8400,1.434
8.8800,1.432
8.9200,1.408
8.9600,1.357
9.0000,1.354
9.0400,1.433
9.0800,1.421
9.1200,1.388
9.1600,1.454
9.2000,1.460
9.2400,1.411
9.2800,1.368
9.3200,1.406
9.3600,1.350
9.4000,1.381
9.4400,1.385
9.4800,1.393
9.5200,1.381
9.5600,1.382
9.6000,1.381
9.6400,1.371
9.6800,1.374
9.7200,1.369
9.7600,1.373
9.8000,1.377
9.8400,1.408
9.8800,1.353
9.9200,1.390
9.9600,1.383
10.0000,1.404
10.0400,1.422
10.0800,1.339
10.1200,1.370
10.1600,1.376
10.2000,1.343
10.2400,1.323
10.2800,1.422
10.3200,1.398
10.3600,1.363
10.4000,1.385
10.4400,1.350
10.4800,1.397
10.5200,1.375
10.5600,1.381
10.6000,1.349
10.6400,1.396
10.6800,1.354
10.7200,1.351
10.7600,1.343
10.8000,1.373
10.8400,1.342
10.8800,1.371
10.9200,1.327
10.9600,1.330
11.0000,1.339
11.0400,1.347
11.0800,1.297
11.1200,1.339
11.1600,1.326
11.2000,1.347
11.2400,1.345
11.2800,1.351
11.3200,1.353
11.3600,1.317
11.4000,1.363
11.4400,1.355
11.4800,1.359
11.5200,1.322
11.5600,1.326
11.6000,1.342
11.6400,1.360
11.6800,1.326
11.7200,1.338
11.7600,1.347
11.8000,1.326
11.8400,1.280
11.8800,1.321
11.9200,1.342
11.9600,1.328
12.0000,1.339
12.0400,1.341
12.0800,1.294
12.1200,1.332
12.1600,1.341
12.2000,1.300
12.2400,1.241
12.2800,1.269
12.3200,1.319
12.3600,1.299
12.4000,1.273
12.4400,1.267
12.4800,1.281
12.5200,1.320
12.5600,1.304
12.6000,1.250
12.6400,1.227
12.6800,1.268
12.7200,1.335
12.7600,1.289
12.8000,1.302
12.8400,1.275
12.8800,1.304
12.9200,1.308
12.9600,1.250
13.0000,1.283
13.0400,1.246
13.0800,1.297
13.1200,1.312
13.1600,1.280
13.2000,1.245
13.2400,1.272
13.2800,1.257
13.3200,1.261
13.3600,1.294
13.4000,1.245
13.4400,1.322
13.4800,1.286
13.5200,1.276
13.5600,1.216
13.6000,1.269
13.6400,1.267
13.6800,1.249
13.7200,1.300
13.7600,1.243
13.8000,1.299
13.8400,1.257
13.8800,1.243
13.9200,1.251
13.9600,1.258
14.0000,1.241
14.0400,1.246
14.0800,1.241
14.1200,1.230
14.1600,1.283
14.2000,1.245
14.2400,1.196
14.2800,1.231
14.3200,1.245
14.3600,1.208
14.4000,1.252
14.4400,1.251
14.4800,1.291
14.5200,1.223
14.5600,1.243
14.6000,1.171
14.6400,1.215
14.6800,1.202
14.7200,1.183
14.7600,1.245
14.8000,1.202
14.8400,1.230
14.8800,1.230
14.9200,1.194
14.9600,1.235
15.0000,1.255
15.0400,1.223
15.0800,1.194
15.1200,1.178
15.1600,1.223
15.2000,1.241
15.2400,1.227
15.2800,1.179
15.3200,1.217
15.3600,1.184
15.4000,1.194
15.4400,1.214
15.4800,1.234
15.5200,1.227
15.5600,1.219
15.6000,1.179
15.6400,1.225
15.6800,1.241
15.7200,1.191
15.7600,1.163
15.8000,1.216
15.8400,1.199
15.8800,1.211
15.9200,1.216
15.9600,1.192
16.0000,1.197
16.0400,1.188
16.0800,1.212
16.1200,1.180
16.1600,1.222
16.2000,1.198
16.2400,1.190
16.2800,1.212
16.3200,1.163
16.3600,1.177
16.4000,1.154
16.4400,1.211
16.4800,1.181
16.5200,1.176
16.5600,1.149
16.6000,1.205
16.6400,1.179
16.6800,1.173
16.7200,1.214
16.7600,1.190
16.8000,1.178
16.8400,1.193
16.8800,1.189
16.9200,1.202
16.9600,1.183
17.0000,1.205
17.0400,1.192
17.0800,1.269
17.1200,1.158
17.1600,1.176
17.2000,1.195
17.2400,1.221
17.2800,1.179
17.3200,1.231
17.3600,1.155
17.4000,1.187
17.4400,1.186
17.4800,1.176
17.5200,1.186
17.5600,1.223
17.6000,1.180
17.6400,1.139
17.6800,1.165
17.7200,1.155
17.7600,1.211
17.8000,1.230
17.8400,1.187
17.8800,1.202
17.9200,1.197
17.9600,1.172
18.0000,1.191
18.0400,1.176
18.0800,1.177
18.1200,1.175
18.1600,1.156
18.2000,1.159
18.2400,1.201
18.2800,1.168
18.3200,1.175
18.3600,1.147
18.4000,1.147
18.4400,1.199
18.4800,1.162
18.5200,1.194
18.5600,1.222
18.6000,1.179
18.6400,1.189
18.6800,1.167
18.7200,1.179
18.7600,1.171
18.8000,1.166
18.8400,1.145
18.8800,1.177
18.9200,1.175
18.9600,1.196
19.0000,1.151
19.0400,1.137
19.0800,1.136
19.1200,1.172
19.1600,1.173
19.2000,1.163
19.2400,1.134
19.2800,1.175
19.3200,1.148
19.3600,1.131
19.4000,1.175
19.4400,1.138
19.4800,1.153
19.5200,1.202
19.5600,1.138
19.6000,1.188
19.6400,1.191
19.6800,1.172
19.7200,1.118
19.7600,1.208
19.8000,1.143
19.8400,1.133
19.8800,1.192
19.9200,1.192
19.9600,1.177
20.0000,1.154
20.0400,1.147
20.0800,1.178
20.1200,1.172
20.1600,1.156
20.2000,1.151
20.2400,1.104
20.2800,1.225
20.3200,1.186
20.3600,1.160
20.4000,1.160
20.4400,1.149
20.4800,1.134
20.5200,1.085
20.5600,1.155
20.6000,1.170
20.6400,1.137
20.6800,1.134
20.7200,1.132
20.7600,1.127
20.8000,1.149
