time /s	I /mA	E /V
0.0	0.0	3.0
60.0	0.0	3.0005
120.0	0.0	3.001
180.0	0.0	3.0015
240.0	0.0	3.002
300.0	0.0	3.0025
360.0	0.0	3.003
420.0	0.0	3.0035
480.0	0.0	3.004
540.0	0.0	3.0045
600.0	0.0	3.005
660.0	0.0	3.0055
720.0	0.0	3.006
780.0	0.0	3.0065
840.0	0.0	3.007
900.0	0.0	3.0075
960.0	0.0	3.008
1020.0	0.0	3.0085
1080.0	0.0	3.009
1140.0	0.0	3.0095
1200.0	0.0	3.01
1260.0	0.0	3.0105
1320.0	0.0	3.011
1380.0	0.0	3.0115
1440.0	0.0	3.012
1500.0	0.0	3.0125
1560.0	0.0	3.013
1620.0	0.0	3.0135
1680.0	0.0	3.014
1740.0	0.0	3.0145
