Title                                                           28.11.2022 15:28
________________________________________________________________________________

Title


Curve Name:
  mp2028_281122_LNO, 28.11.2022 14:59:27
  Performed 28.11.2022 14:59:26
  Sample Weight
Curve Values:
          Index              t             Ts             Tr          Value
                           [s]           [°C]           [°C]           [mg]
              0              0        21.0052             25        4.17537
              1              1        21.0037        25.1667        4.17538
              2              2        21.0039        25.3333        4.17535
              3              3        21.0062           25.5         4.1753
              4              4          21.04        25.6667        4.17498
              5              5        21.0798        25.8333        4.17473
              6              6        21.1329             26        4.17448
              7              7        21.1896        26.1667        4.17424
              8              8         21.255        26.3333        4.17402
              9              9        21.3294           26.5        4.17402
             10             10        21.4116        26.6667        4.17419
             11             11        21.4932        26.8333        4.17444
             12             12        21.5837             27        4.17513
             13             13        21.6768        27.1667        4.17565
             14             14        21.7789        27.3333        4.17611
             15             15        21.8777           27.5        4.17653
             16             16        21.9846        27.6667        4.17688
             17             17        22.0799        27.8333        4.17714
             18             18        22.1754             28        4.17733
             19             19        22.2757        28.1667        4.17747
             20             20        22.3883        28.3333        4.17725
             21             21        22.4823           28.5        4.17719
             22             22        22.6037        28.6667        4.17715
             23             23        22.7117        28.8333         4.1771
             24             24        22.8158             29        4.17699
             25             25        22.9297        29.1667        4.17692
             26             26        23.0445        29.3333        4.17685
             27             27        23.1668           29.5        4.17677
             28             28        23.2847        29.6667         4.1767
             29             29        23.3851        29.8333        4.17663
             30             30        23.5158             30        4.17656
             31             31        23.6394        30.1667        4.17649
             32             32         23.749        30.3333         4.1764
             33             33        23.8646           30.5        4.17633
             34             34        23.9889        30.6667        4.17625
             35             35        24.1039        30.8333        4.17617
             36             36        24.2187             31         4.1761
             37             37        24.3361        31.1667        4.17602
             38             38        24.4615        31.3333        4.17596
             39             39          24.58           31.5         4.1759
             40             40         24.693        31.6667        4.17583
             41             41        24.8145        31.8333        4.17575
             42             42        24.9329             32        4.17568
             43             43        25.0537        32.1667        4.17561
             44             44        25.1814        32.3333        4.17552
             45             45        25.3132           32.5        4.17546
             46             46        25.4462        32.6667        4.17542
             47             47        25.5594        32.8333        4.17539
             48             48        25.6679             33         4.1754
             49             49        25.7941        33.1667        4.17539
             50             50        25.9167        33.3333         4.1754
             51             51        26.0392           33.5        4.17541
             52             52        26.1679        33.6667        4.17544
             53             53        26.3004        33.8333        4.17547
             54             54        26.4121             34         4.1755
             55             55        26.5305        34.1667        4.17552
             56             56        26.6597        34.3333        4.17557
             57             57        26.7725           34.5         4.1756
             58             58        26.9095        34.6667        4.17563
             59             59        27.0407        34.8333        4.17566
             60             60        27.1603             35        4.17567
             61             61        27.2827        35.1667        4.17568
             62             62        27.4078        35.3333        4.17569
             63             63         27.549           35.5         4.1757
             64             64        27.6708        35.6667        4.17571
             65             65        27.8004        35.8333        4.17573
             66             66         27.912             36        4.17577
             67             67        28.0428        36.1667        4.17581
             68             68        28.1854        36.3333        4.17589
             69             69        28.3065           36.5        4.17594
             70             70        28.4388        36.6667        4.17598
             71             71        28.5508        36.8333        4.17602
             72             72        28.6858             37        4.17603
             73             73        28.8104        37.1667        4.17603
             74             74        28.9515        37.3333        4.17603
             75             75        29.0809           37.5        4.17601
             76             76        29.2135        37.6667        4.17596
             77             77        29.3308        37.8333        4.17592
             78             78        29.4654             38        4.17588
             79             79        29.5864        38.1667        4.17584
             80             80        29.7171        38.3333        4.17578
             81             81        29.8579           38.5        4.17572
             82             82        29.9735        38.6667        4.17567
             83             83        30.1048        38.8333        4.17563
             84             84        30.2381             39        4.17559
             85             85        30.3718        39.1667        4.17558
             86             86        30.5076        39.3333        4.17558
             87             87        30.6391           39.5        4.17559
             88             88        30.7698        39.6667         4.1756
             89             89        30.8909        39.8333        4.17562
             90             90        31.0221             40        4.17562
             91             91        31.1526        40.1667        4.17564
             92             92        31.2863        40.3333        4.17569
             93             93        31.4253           40.5        4.17579
             94             94         31.549        40.6667        4.17596
