Date_Time,Test_Time(s),Step_Time(s),Step_Index,Cycle_Index,Voltage(V),Current(A),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),Internal Resistance(Ohm),dV/dt(V/s)
10-19-2020 11:31:46.582,1.001,1.0005,1,1,2.637298584,0,0,0,0,0,,0
10-19-2020 11:31:47.582,2.0015,2.001,1,1,2.637672424,0,0,0,0,0,,0.000312805
10-19-2020 11:31:48.582,3.0015,3.001,1,1,2.638118744,0,0,0,0,0,,0.000413895
10-19-2020 11:31:49.588,4.0074,4.0069,1,1,2.638446808,0,0,0,0,0,,0.000305176
10-19-2020 11:31:50.594,5.0134,5.0129,1,1,2.638906479,0,0,0,0,0,,0.000455856
10-19-2020 11:31:51.600,6.0189,6.0184,1,1,2.639242172,0,0,0,0,0,,0.000354767
10-19-2020 11:31:52.600,7.0191,7.0186,1,1,2.639656067,0,0,0,0,0,,0.000337601
10-19-2020 11:31:53.602,8.0209,8.0204,1,1,2.640047073,0,0,0,0,0,,0.000400543
10-19-2020 11:31:54.603,9.0224,9.0219,1,1,2.64040184,0,0,0,0,0,,0.000318527
10-19-2020 11:31:55.583,10.0018,10.0013,1,1,2.640909195,0,0,0,0,0,,-0.000134418
10-19-2020 11:31:55.692,10.1112,0.0094,2,1,2.618637085,-5.00026E-05,0,6.33563E-09,0,1.67266E-08,,-0.000185013
10-19-2020 11:31:55.885,10.3039,0.2021,2,1,2.613586426,-5.00072E-05,0,9.00736E-09,0,2.37093E-08,,-0.014595666
10-19-2020 11:31:56.090,10.5088,0.407,2,1,2.608547211,-5.00067E-05,0,1.18482E-08,0,3.11341E-08,,-0.029918671
10-19-2020 11:31:56.300,10.7191,0.6173,2,1,2.603481293,-4.99986E-05,0,1.47624E-08,0,3.86979E-08,,-0.028487304
10-19-2020 11:31:56.535,10.9542,0.8524,2,1,2.598371506,-5.00018E-05,0,1.80203E-08,0,4.71538E-08,,-0.026887142
10-19-2020 11:31:56.764,11.1836,1.0818,2,1,2.593328476,-4.99986E-05,0,2.11992E-08,0,5.54046E-08,,-0.025325775
10-19-2020 11:31:57.000,11.4188,1.317,2,1,2.588132858,-5.00074E-05,0,2.44584E-08,0,6.3864E-08,,-0.023724932
10-19-2020 11:31:57.246,11.6656,1.5638,2,1,2.583122253,-5.00134E-05,0,2.78784E-08,0,7.27407E-08,,-0.022045135
10-19-2020 11:31:57.482,11.9014,1.7996,2,1,2.578018188,-5.00118E-05,0,3.11633E-08,0,8.1192E-08,,-0.021713543
10-19-2020 11:31:57.735,12.1542,2.0524,2,1,2.572940826,-5.00116E-05,0,3.4685E-08,0,9.02525E-08,,-0.021358045
10-19-2020 11:31:57.982,12.4007,2.2989,2,1,2.567861557,-5.0007E-05,0,3.81189E-08,0,9.90872E-08,,-0.021011406
10-19-2020 11:31:58.241,12.6598,2.558,2,1,2.562841415,-5.00096E-05,0,4.17283E-08,0,1.08374E-07,,-0.020647049
10-19-2020 11:31:58.494,12.9131,2.8113,2,1,2.557750702,-5.00047E-05,0,4.52493E-08,0,1.1737E-07,,-0.020395845
10-19-2020 11:31:58.759,13.1782,3.0764,2,1,2.5526371,-5.00022E-05,0,4.89344E-08,0,1.26786E-07,,-0.02013294
10-19-2020 11:31:59.018,13.4368,3.335,2,1,2.547559738,-5.0001E-05,0,5.25291E-08,0,1.3597E-07,,-0.01987648
10-19-2020 11:31:59.295,13.7143,3.6125,2,1,2.542341232,-4.9997E-05,0,5.63649E-08,0,1.45703E-07,,-0.01956661
10-19-2020 11:31:59.572,13.991,3.8892,2,1,2.53732872,-4.99961E-05,0,6.01897E-08,0,1.55408E-07,,-0.019257633
10-19-2020 11:31:59.837,14.2559,4.1541,2,1,2.532325745,-4.99964E-05,0,6.38513E-08,0,1.64699E-07,,-0.018961833
10-19-2020 11:32:00.114,14.5334,4.4316,2,1,2.527324677,-5.00026E-05,0,6.76871E-08,0,1.74432E-07,,-0.018651962
10-19-2020 11:32:00.397,14.8159,4.7141,2,1,2.522253036,-5.00048E-05,0,7.16258E-08,0,1.84346E-07,,-0.018430254
10-19-2020 11:32:00.680,15.0989,4.9971,2,1,2.517196655,-5.00006E-05,0,7.55714E-08,0,1.94277E-07,,-0.018208153
10-19-2020 11:32:00.975,15.3943,5.2925,2,1,2.512029648,-4.99999E-05,0,7.96899E-08,0,2.04643E-07,,-0.01797632
10-19-2020 11:32:01.276,15.6951,5.5933,2,1,2.506958008,-5.00026E-05,0,8.38837E-08,0,2.15199E-07,,-0.01774025
10-19-2020 11:32:01.553,15.9719,5.8701,2,1,2.501926422,-5.00077E-05,0,8.77278E-08,0,2.24806E-07,,-0.017597283
10-19-2020 11:32:01.854,16.2728,6.171,2,1,2.496923447,-4.99964E-05,0,9.19066E-08,0,2.3525E-07,,-0.017441869
10-19-2020 11:32:02.155,16.574,6.4722,2,1,2.491868973,-4.99944E-05,0,9.60895E-08,0,2.45704E-07,,-0.017286301
10-19-2020 11:32:02.450,16.8695,6.7677,2,1,2.486856461,-4.99941E-05,0,1.00183E-07,0,2.55875E-07,,-0.017203499
10-19-2020 11:32:02.745,17.1646,7.0628,2,1,2.481748581,-4.9999E-05,0,1.04272E-07,0,2.66031E-07,,-0.017120809
10-19-2020 11:32:03.047,17.4657,7.3639,2,1,2.476709366,-5.00039E-05,0,1.08443E-07,0,2.76394E-07,,-0.017036438
10-19-2020 11:32:03.354,17.7727,7.6709,2,1,2.471635818,-5.00098E-05,0,1.12709E-07,0,2.86916E-07,,-0.016967892
10-19-2020 11:32:03.661,18.0799,7.9781,2,1,2.46661377,-5.00128E-05,0,1.16977E-07,0,2.97444E-07,,-0.016899302
10-19-2020 11:32:03.956,18.3751,8.2733,2,1,2.461559296,-5.00025E-05,0,1.21079E-07,0,3.07562E-07,,-0.016833391
10-19-2020 11:32:04.251,18.6702,8.5684,2,1,2.456548691,-5.00025E-05,0,1.25179E-07,0,3.17676E-07,,-0.016767502
10-19-2020 11:32:04.558,18.9769,8.8751,2,1,2.451475143,-5.00021E-05,0,1.29449E-07,0,3.28134E-07,,-0.016805612
10-19-2020 11:32:04.859,19.2781,9.1763,2,1,2.446397781,-4.99941E-05,0,1.33643E-07,0,3.38404E-07,,-0.016843038
10-19-2020 11:32:05.172,19.5912,9.4894,2,1,2.441326141,-4.99864E-05,0,1.38003E-07,0,3.4908E-07,,-0.016881943
10-19-2020 11:32:05.474,19.8927,9.7909,2,1,2.43626976,-4.99928E-05,0,1.42185E-07,0,3.59257E-07,,-0.016831365
10-19-2020 11:32:05.780,20.1993,10.0975,2,1,2.431150436,-5.00041E-05,0,1.46437E-07,0,3.69606E-07,,-0.016779932
10-19-2020 11:32:06.082,20.5008,10.399,2,1,2.426132202,-4.99999E-05,0,1.50619E-07,0,3.79783E-07,,-0.016729355
10-19-2020 11:32:06.389,20.8077,10.7059,2,1,2.421077728,-4.99974E-05,0,1.5487E-07,0,3.90064E-07,,-0.016695026
10-19-2020 11:32:06.690,21.1089,11.0071,2,1,2.41607666,-4.9995E-05,0,1.59041E-07,0,4.00154E-07,,-0.016661335
10-19-2020 11:32:07.002,21.4216,11.3198,2,1,2.410991669,-4.99977E-05,0,1.63373E-07,0,4.10629E-07,,-0.016626358
10-19-2020 11:32:07.310,21.7288,11.627,2,1,2.405916214,-4.99915E-05,0,1.67644E-07,0,4.20884E-07,,-0.016570671
10-19-2020 11:32:07.617,22.0366,11.9348,2,1,2.400794983,-4.99904E-05,0,1.71924E-07,0,4.3116E-07,,-0.016514876
